Баг-Репорт для приложения Телеграмм на ПК					
					
	Баг-репорт 1	Баг-репорт 2	Баг-репорт 3	Баг-репорт 4	Баг-репорт 5
ID	TG_desktop_007	TG_desktop_018	TG_desktop_019	TG_desktop_021	TG_desktop_022
Название	Успешно отправляется изображение размером более 10мб	Корректно выполняется поиск по спец. символам	Некорректный результата поиска по заданному слову в сообществе	Не выполняется голосовой звонок через приложение	Не выполняется видеозвонок через приложение
Проект	Telegram Desktop	Telegram Desktop	Telegram Desktop	Telegram Desktop	Telegram Desktop
Версия 	6.2.4*64	6.2.4*64	6.2.4*64	6.2.4*64	6.2.4*64
Приоритет	Высокий	Средний	Средний	Низкий	Низкий
Серьезность	Major	Major	Major	Critical	Critical
Предусловия	1. Пользователь авторизирован в Телеграмм                                    2. Открыт чат с контактом/ группой                                                       3. Стабильное интернет соединение	1. Пользователь авторизирован в Телеграмм                                    2. Открыт чат с контактом/ группой                                                       3. Открыта строка поиска в чате/группе                                                    4. Стабильное интернет соединение	1. Пользователь авторизирован в Телеграмм                                    2. Открыт чат с контактом/ группой                                                       3. Открыта строка поиска в чате/группе                                                    4. Стабильное интернет соединение	1. Пользователь авторизирован в Телеграмм                                    2. Открыт чат с контактом/ группой                                                       3. Стабильное интернет соединение	1. Пользователь авторизирован в Телеграмм                                    2. Открыт чат с контактом/ группой                                                       3. Стабильное интернет соединение
Шаги воспроизведения	"1. Нажать на значок скрепки                                                                          2. Выбрать изображение >10мб                                                                3. Нажать ""Открыть""                                                                                        4. Нажать ""Отправить"""	"1. Нажать на значок поиска в чате/группе                                                                      2. Ввести текст ""№%?;*""                                                                                                                                                       "	"1. Нажать на значок поиска в чате/группе                                                                      2. Ввести текст ""Макраме""                                                                                                                                                       "	"1. Нажать на значок аудиозвонка                                                                                                                                         2. Сказать фразу ""Тестовый звонок""                                                                                      3. Завершить звонок"	"1. Нажать на значок видеозвонка                                                          2. Сказать фразу ""Тестовый звонок""                                                         3. Оценить качество изображения и сигнала                                                                                                                                                                                                                       4. Завершить видео звонок"
Фактический результат	Фотография успешно отправлена	Поиск успешно осуществляется	"Кроме правильных результатов выдает те где нет упоминания слова ""Макраме"""	Аудиозвонок работает не корретно и сбрасывается	Видеозвонок работает не корретно и сбрасывается
Ожидаемый результат	"Появляется ошибка "" Не удалось отправить файл"""	"Появляется ошибка ""Некорректные данные для поиска"""	"В результатах поиска посты где упоминается слово ""Макраме"""	Аудиозвонок выполнен корректно	Видео выполнен корректно
Окружение 	Windows 10 Pro, версия 22H2, сборка 19045.6456	Windows 10 Pro, версия 22H2, сборка 19045.6456	Windows 10 Pro, версия 22H2, сборка 19045.6456	Windows 10 Pro, версия 22H2, сборка 19045.6456	Windows 10 Pro, версия 22H2, сборка 19045.6456
